order_date,order_year,order_month,invoice,customer_id,description,quantity,unit_price,total_cost,sales_bracket,stockcode,invoicedate,price,country
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,BLACK GLASS BRACELET W HEART CHARMS,1,4.95,4.95,low,90197B,2011-12-01 08:51:00,4.95,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,BLACK FINE BEAD NECKLACE W TASSEL,1,5.95,5.95,low,90179C,2011-12-01 08:51:00,5.95,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,PURPLE FINE BEAD NECKLACE W TASSEL,1,5.95,5.95,low,90179B,2011-12-01 08:51:00,5.95,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,ROTATING SILVER ANGELS T-LIGHT HLDR,3,2.55,7.65,low,84347,2011-12-01 08:51:00,2.55,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,CINAMMON & ORANGE WREATH,1,6.75,6.75,low,21351,2011-12-01 08:51:00,6.75,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,SET OF 6 T-LIGHTS WEDDING CAKE ,6,2.95,17.7,medium,22806,2011-12-01 08:51:00,2.95,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,PACK OF 12 50'S CHRISTMAS TISSUES,1,0.39,0.39,low,23378,2011-12-01 08:51:00,0.39,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,4 PEAR BOTANICAL DINNER CANDLES,1,1.25,1.25,low,21616,2011-12-01 08:51:00,1.25,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,GINGHAM RECIPE BOOK BOX,1,4.95,4.95,low,23424,2011-12-01 08:51:00,4.95,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,HANGING BAUBLE T-LIGHT HOLDER LARGE,1,2.95,2.95,low,20894,2011-12-01 08:51:00,2.95,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,PACK OF SIX LED TEA LIGHTS,1,2.89,2.89,low,23109,2011-12-01 08:51:00,2.89,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,JUMBO BAG APPLES,1,2.08,2.08,low,23199,2011-12-01 08:51:00,2.08,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,PEG BAG APPLES DESIGN,1,2.55,2.55,low,22896,2011-12-01 08:51:00,2.55,United Kingdom
2011-01-12 08:51:00,2011,2011-01,579909,UNKNOWN,REX CASH+CARRY JUMBO SHOPPER,10,0.95,9.5,low,21034,2011-12-01 08:51:00,0.95,United Kingdom
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,3 ROSE MORRIS BOXED CANDLES,24,1.25,30.0,medium,85034C,2011-12-01 08:52:00,1.25,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,PARISIENNE SEWING BOX,2,12.5,25.0,medium,23111,2011-12-01 08:52:00,12.5,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,PACK OF 72 RETROSPOT CAKE CASES,24,0.55,13.2,medium,21212,2011-12-01 08:52:00,0.55,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,SET OF 3 HEART COOKIE CUTTERS,12,1.45,17.4,medium,84378,2011-12-01 08:52:00,1.45,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,ASSORTED COLOUR MINI CASES,4,7.95,31.8,medium,20749,2011-12-01 08:52:00,7.95,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,RED RETROSPOT MINI CASES,4,7.95,31.8,medium,20750,2011-12-01 08:52:00,7.95,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,PINK FLORAL FELTCRAFT SHOULDER BAG,4,3.75,15.0,medium,20970,2011-12-01 08:52:00,3.75,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,3.75,15.0,medium,22749,2011-12-01 08:52:00,3.75,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,PHOTO FRAME CORNICE,8,2.95,23.6,medium,22766,2011-12-01 08:52:00,2.95,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,12 PENCIL SMALL TUBE WOODLAND,24,0.65,15.6,medium,20973,2011-12-01 08:52:00,0.65,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,VICTORIAN SEWING BOX SMALL ,2,5.95,11.9,medium,21259,2011-12-01 08:52:00,5.95,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,VICTORIAN SEWING BOX MEDIUM,4,7.95,31.8,medium,21257,2011-12-01 08:52:00,7.95,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,REGENCY CAKESTAND 3 TIER,3,12.75,38.25,medium,22423,2011-12-01 08:52:00,12.75,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,SET OF 2 CERAMIC PAINTED HEARTS ,12,1.45,17.4,medium,23270,2011-12-01 08:52:00,1.45,EIRE
2011-01-12 08:52:00,2011,2011-01,579910,14911.0,CARRIAGE,1,50.0,50.0,medium,C2,2011-12-01 08:52:00,50.0,EIRE
2011-01-12 08:53:00,2011,2011-01,C579911,14525.0,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,1.25,-1.25,,84947,2011-12-01 08:53:00,1.25,United Kingdom
2011-01-12 08:53:00,2011,2011-01,C579911,14525.0,ANTIQUE SILVER BAUBLE LAMP  ,-1,10.4,-10.4,,23085,2011-12-01 08:53:00,10.4,United Kingdom
2011-01-12 08:54:00,2011,2011-01,C579912,17044.0,SILVER HANGING T-LIGHT HOLDER,-11,1.45,-15.95,,84949,2011-12-01 08:54:00,1.45,United Kingdom
2011-01-12 08:55:00,2011,2011-01,C579913,14626.0,COLOURED GLASS STAR T-LIGHT HOLDER,-1,3.95,-3.95,,71477,2011-12-01 08:55:00,3.95,United Kingdom
2011-01-12 08:56:00,2011,2011-01,C579915,16570.0,ALARM CLOCK BAKELIKE GREEN,-2,3.75,-7.5,,22726,2011-12-01 08:56:00,3.75,United Kingdom
2011-01-12 08:56:00,2011,2011-01,C579914,13267.0,HAND WARMER BIRD DESIGN,-4,2.1,-8.4,,22867,2011-12-01 08:56:00,2.1,United Kingdom
2011-01-12 08:56:00,2011,2011-01,C579914,13267.0,DRAWER KNOB CRACKLE GLAZE IVORY,-4,1.65,-6.6,,23032,2011-12-01 08:56:00,1.65,United Kingdom
2011-01-12 08:57:00,2011,2011-01,579916,15187.0,GREEN METAL BOX ARMY SUPPLIES,16,7.5,120.0,high,23081,2011-12-01 08:57:00,7.5,United Kingdom
2011-01-12 08:57:00,2011,2011-01,579916,15187.0,RED METAL BOX TOP SECRET,32,7.5,240.0,high,23080,2011-12-01 08:57:00,7.5,United Kingdom
2011-01-12 08:57:00,2011,2011-01,579916,15187.0,RABBIT NIGHT LIGHT,24,1.79,42.96,medium,23084,2011-12-01 08:57:00,1.79,United Kingdom
2011-01-12 08:58:00,2011,2011-01,579917,15187.0,VINTAGE CHRISTMAS GIFT SACK,24,4.15,99.6,medium,23312,2011-12-01 08:58:00,4.15,United Kingdom
2011-01-12 08:58:00,2011,2011-01,C579918,13410.0,CLASSIC GLASS COOKIE JAR,-2,4.15,-8.3,,23169,2011-12-01 08:58:00,4.15,United Kingdom
2011-01-12 09:00:00,2011,2011-01,C579919,17540.0,CHILDS BREAKFAST SET CIRCUS PARADE,-1,8.5,-8.5,,22636,2011-12-01 09:00:00,8.5,United Kingdom
2011-01-12 09:02:00,2011,2011-01,579920,16839.0,T-LIGHT GLASS FLUTED ANTIQUE,144,1.06,152.64,high,22791,2011-12-01 09:02:00,1.06,United Kingdom
2011-01-12 09:02:00,2011,2011-01,579920,16839.0,HANGING HEART ZINC T-LIGHT HOLDER,144,0.72,103.68,high,84970S,2011-12-01 09:02:00,0.72,United Kingdom
2011-01-12 09:02:00,2011,2011-01,579920,16839.0,REINDEER HEART DECORATION SILVER,24,0.83,19.92,medium,23221,2011-12-01 09:02:00,0.83,United Kingdom
2011-01-12 09:02:00,2011,2011-01,579920,16839.0,ANTIQUE SILVER TEA GLASS ENGRAVED,72,1.06,76.32,medium,84947,2011-12-01 09:02:00,1.06,United Kingdom
2011-01-12 09:03:00,2011,2011-01,579921,16839.0,CHRISTMAS LIGHTS 10 REINDEER,24,7.65,183.6,high,22941,2011-12-01 09:03:00,7.65,United Kingdom
2011-01-12 09:03:00,2011,2011-01,579921,16839.0,VICTORIAN GLASS HANGING T-LIGHT,96,1.65,158.4,high,22178,2011-12-01 09:03:00,1.65,United Kingdom
2011-01-12 09:03:00,2011,2011-01,579921,16839.0,SILVER BELLS TABLE DECORATION,12,1.25,15.0,medium,23100,2011-12-01 09:03:00,1.25,United Kingdom
2011-01-12 09:03:00,2011,2011-01,579921,16839.0,REINDEER HEART DECORATION SILVER,24,0.83,19.92,medium,23221,2011-12-01 09:03:00,0.83,United Kingdom
2011-01-12 09:03:00,2011,2011-01,579921,16839.0,HEART IVORY TRELLIS SMALL,24,1.25,30.0,medium,22297,2011-12-01 09:03:00,1.25,United Kingdom
2011-01-12 09:03:00,2011,2011-01,579921,16839.0,HEART IVORY TRELLIS LARGE,12,1.65,19.8,medium,22296,2011-12-01 09:03:00,1.65,United Kingdom
2011-01-12 09:03:00,2011,2011-01,579921,16839.0,RECIPE BOX RETROSPOT ,24,2.55,61.2,medium,22667,2011-12-01 09:03:00,2.55,United Kingdom
2011-01-12 09:06:00,2011,2011-01,C579923,17071.0,MEMO BOARD COTTAGE DESIGN,-1,4.95,-4.95,,22505,2011-12-01 09:06:00,4.95,United Kingdom
2011-01-12 09:06:00,2011,2011-01,579922,13854.0,SET 6 SCHOOL MILK BOTTLES IN CRATE,48,3.39,162.72,high,23328,2011-12-01 09:06:00,3.39,United Kingdom
2011-01-12 09:06:00,2011,2011-01,579922,13854.0,ASSORTED COLOUR MINI CASES,12,6.35,76.2,medium,20749,2011-12-01 09:06:00,6.35,United Kingdom
2011-01-12 09:06:00,2011,2011-01,579922,13854.0,ASSORTED COLOUR BIRD ORNAMENT,24,1.69,40.56,medium,84879,2011-12-01 09:06:00,1.69,United Kingdom
2011-01-12 09:06:00,2011,2011-01,579922,13854.0,IVORY HANGING DECORATION  EGG,72,0.19,13.68,medium,21386,2011-12-01 09:06:00,0.19,United Kingdom
2011-01-12 09:06:00,2011,2011-01,579922,13854.0,HANGING SPRING FLOWER EGG SMALL,48,0.19,9.12,low,85194S,2011-12-01 09:06:00,0.19,United Kingdom
2011-01-12 09:13:00,2011,2011-01,C579924,16293.0,CLASSIC CAFE SUGAR DISPENSER,-3,1.25,-3.75,,23168,2011-12-01 09:13:00,1.25,United Kingdom
2011-01-12 09:16:00,2011,2011-01,C579925,15544.0,BLUE POLKADOT CUP,-3,0.85,-2.55,,21240,2011-12-01 09:16:00,0.85,United Kingdom
2011-01-12 09:19:00,2011,2011-01,C579926,14389.0,CHARLOTTE BAG SUKI DESIGN,-1,0.72,-0.72,low,22355,2011-12-01 09:19:00,0.72,United Kingdom
2011-01-12 09:19:00,2011,2011-01,C579926,14389.0,JUMBO  BAG BAROQUE BLACK WHITE,-1,2.08,-2.08,,85099C,2011-12-01 09:19:00,2.08,United Kingdom
2011-01-12 09:19:00,2011,2011-01,C579926,14389.0,JUMBO BAG RED RETROSPOT,-1,2.08,-2.08,,85099B,2011-12-01 09:19:00,2.08,United Kingdom
2011-01-12 09:19:00,2011,2011-01,C579926,14389.0,LUNCH BAG ALPHABET DESIGN,-2,1.65,-3.3,,23207,2011-12-01 09:19:00,1.65,United Kingdom
2011-01-12 09:19:00,2011,2011-01,C579926,14389.0,CHARLOTTE BAG APPLES DESIGN,-2,0.72,-1.44,,23204,2011-12-01 09:19:00,0.72,United Kingdom
2011-01-12 09:19:00,2011,2011-01,C579926,14389.0,JUMBO BAG APPLES,-5,2.08,-10.4,,23199,2011-12-01 09:19:00,2.08,United Kingdom
2011-01-12 09:19:00,2011,2011-01,C579926,14389.0,JUMBO BAG PEARS,-1,2.08,-2.08,,23200,2011-12-01 09:19:00,2.08,United Kingdom
2011-01-12 09:19:00,2011,2011-01,C579926,14389.0,LUNCH BAG  BLACK SKULL.,-2,1.65,-3.3,,20727,2011-12-01 09:19:00,1.65,United Kingdom
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,REGENCY CAKESTAND 3 TIER,4,12.75,51.0,medium,22423,2011-12-01 09:20:00,12.75,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,PINK REGENCY TEACUP AND SAUCER,6,2.95,17.7,medium,22698,2011-12-01 09:20:00,2.95,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,ROSES REGENCY TEACUP AND SAUCER ,6,2.95,17.7,medium,22699,2011-12-01 09:20:00,2.95,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,GREEN REGENCY TEACUP AND SAUCER,6,2.95,17.7,medium,22697,2011-12-01 09:20:00,2.95,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,SAVE THE PLANET MUG,36,1.45,52.2,medium,21871,2011-12-01 09:20:00,1.45,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,ALARM CLOCK BAKELIKE CHOCOLATE,4,3.75,15.0,medium,22725,2011-12-01 09:20:00,3.75,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,ALARM CLOCK BAKELIKE RED ,4,3.75,15.0,medium,22727,2011-12-01 09:20:00,3.75,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,ALARM CLOCK BAKELIKE GREEN,4,3.75,15.0,medium,22726,2011-12-01 09:20:00,3.75,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,ALARM CLOCK BAKELIKE PINK,4,3.75,15.0,medium,22728,2011-12-01 09:20:00,3.75,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,ALARM CLOCK BAKELIKE IVORY,4,3.75,15.0,medium,22730,2011-12-01 09:20:00,3.75,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,SET OF 6 RIBBONS VINTAGE CHRISTMAS,6,2.89,17.34,medium,22734,2011-12-01 09:20:00,2.89,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,HOME SWEET HOME KEY HOLDER,2,6.25,12.5,medium,23406,2011-12-01 09:20:00,6.25,Germany
2011-01-12 09:20:00,2011,2011-01,579927,12572.0,CUSHION COVER PINK UNION JACK,2,5.95,11.9,medium,22786,2011-12-01 09:20:00,5.95,Germany
